latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
37.73687,-96.83584,316.33,1.28,1.12,2025-04-07,1635,T,75,6.1NRT,293.05,18.05,D
41.6706,-99.20209,306.84,1,1,2025-04-07,1635,T,57,6.1NRT,288.09,6.48,D
37.81388,-97.3269,304.54,1.21,1.1,2025-04-07,1635,T,50,6.1NRT,290.61,4.4,D
41.66888,-99.19046,312.32,1,1,2025-04-07,1635,T,72,6.1NRT,291.19,10.09,D
37.70223,-96.7573,304.04,1.3,1.13,2025-04-07,1635,T,53,6.1NRT,291.58,5.41,D
40.99576,-95.20804,301.74,1.35,1.15,2025-04-07,1635,T,49,6.1NRT,285.26,6.97,D
37.94374,-98.58857,308.83,1.08,1.04,2025-04-07,1635,T,53,6.1NRT,295.18,6.86,D
41.48856,-99.22524,318.13,1,1,2025-04-07,1635,T,68,6.1NRT,287.64,15.15,D
40.63381,-94.72462,305.55,1.45,1.19,2025-04-07,1635,T,62,6.1NRT,284.82,12.38,D
37.9418,-98.57671,317.07,1.08,1.04,2025-04-07,1635,T,74,6.1NRT,292.97,13.83,D
41.19937,-98.30365,302.2,1.03,1.02,2025-04-07,1635,T,51,6.1NRT,286.68,3.53,D
37.59261,-96.55477,312.14,1.33,1.14,2025-04-07,1635,T,71,6.1NRT,292.24,13.51,D
40.5818,-95.67635,343.83,1.3,1.13,2025-04-07,1635,T,93,6.1NRT,290.39,71.57,D
37.80182,-97.79601,307.76,1.16,1.07,2025-04-07,1635,T,59,6.1NRT,296.51,5.49,D
40.57916,-95.66164,327.44,1.3,1.13,2025-04-07,1635,T,85,6.1NRT,288.7,36.12,D
37.83408,-98.48667,310.74,1.09,1.04,2025-04-07,1635,T,57,6.1NRT,295.52,6.86,D
40.78552,-99.54881,306.63,1,1,2025-04-07,1635,T,60,6.1NRT,290.05,5.34,D
37.83212,-98.47471,338.59,1.09,1.04,2025-04-07,1635,T,90,6.1NRT,296.09,42.93,D
40.34869,-97.52301,320.4,1.1,1.05,2025-04-07,1635,T,79,6.1NRT,290.13,18.68,D
37.82306,-98.47704,332.22,1.09,1.04,2025-04-07,1635,T,86,6.1NRT,294.65,32.11,D
40.34664,-97.51052,319.81,1.1,1.05,2025-04-07,1635,T,79,6.1NRT,289.78,18.05,D
37.45856,-96.55927,314.14,1.34,1.15,2025-04-07,1635,T,45,6.1NRT,293.75,14.01,D
40.17819,-97.45882,304.01,1.11,1.05,2025-04-07,1635,T,54,6.1NRT,289.82,4.92,D
37.45597,-96.54485,315.38,1.34,1.15,2025-04-07,1635,T,55,6.1NRT,293.56,15.37,D
39.66653,-96.36964,314.86,1.25,1.11,2025-04-07,1635,T,75,6.1NRT,288.49,17.43,D
37.44865,-96.56209,324.24,1.34,1.15,2025-04-07,1635,T,83,6.1NRT,293.67,28.7,D
39.56276,-96.59552,313.19,1.23,1.1,2025-04-07,1635,T,73,6.1NRT,290.22,14.76,D
37.42735,-96.67416,327.04,1.32,1.14,2025-04-07,1635,T,84,6.1NRT,293.32,32.96,D
39.56032,-96.58172,301.97,1.23,1.1,2025-04-07,1635,T,50,6.1NRT,288.86,4.78,D
39.08437,-95.22564,318.28,1.47,1.2,2025-04-07,1635,T,78,6.1NRT,290.16,28.33,D
37.42472,-96.65971,355.78,1.33,1.14,2025-04-07,1635,T,98,6.1NRT,295.81,110.17,D
39.23491,-96.51288,301.09,1.25,1.11,2025-04-07,1635,T,43,6.1NRT,289.6,4.56,D
37.42212,-96.64536,318.52,1.33,1.14,2025-04-07,1635,T,78,6.1NRT,291.39,20.58,D
38.72625,-93.92086,301.28,1.78,1.31,2025-04-07,1635,T,46,6.1NRT,289.43,8.71,D
37.41486,-96.66252,316.13,1.33,1.14,2025-04-07,1635,T,76,6.1NRT,293.17,17.49,D
38.6202,-93.39816,306.62,1.92,1.35,2025-04-07,1635,T,64,6.1NRT,288.66,18.87,D
37.69324,-99.05372,331.64,1.06,1.03,2025-04-07,1635,T,86,6.1NRT,299.6,28.37,D
38.61589,-93.37717,306.8,1.93,1.36,2025-04-07,1635,T,64,6.1NRT,288.79,19.23,D
37.69141,-99.04218,329.39,1.06,1.03,2025-04-07,1635,T,84,6.1NRT,299.54,25.31,D
39.12118,-96.21862,317.84,1.3,1.13,2025-04-07,1635,T,78,6.1NRT,290.72,21.42,D
37.64867,-99.06481,317.82,1.06,1.03,2025-04-07,1635,T,74,6.1NRT,297.36,11.67,D
39.11856,-96.20417,318.14,1.3,1.13,2025-04-07,1635,T,78,6.1NRT,290.66,22.01,D
37.63975,-99.06702,310.83,1.06,1.03,2025-04-07,1635,T,33,6.1NRT,297.25,4.84,D
39.12185,-96.27891,315.76,1.29,1.13,2025-04-07,1635,T,76,6.1NRT,289.39,18.63,D
37.10244,-96.25732,304.44,1.41,1.18,2025-04-07,1635,T,59,6.1NRT,293.93,6.91,D
39.11926,-96.26465,312.4,1.29,1.13,2025-04-07,1635,T,72,6.1NRT,289.46,14.69,D
37.28133,-97.42562,309.41,1.22,1.1,2025-04-07,1635,T,64,6.1NRT,292.61,9.51,D
39.09666,-96.60257,312.36,1.25,1.11,2025-04-07,1635,T,72,6.1NRT,290.33,12.94,D
36.89705,-95.77587,303.4,1.52,1.22,2025-04-07,1635,T,42,6.1NRT,291.4,6.96,D
39.09421,-96.5888,318.79,1.25,1.11,2025-04-07,1635,T,79,6.1NRT,291.94,20.79,D
36.88657,-95.77892,307.33,1.52,1.22,2025-04-07,1635,T,65,6.1NRT,291.33,11.71,D
39.03201,-96.35624,329.91,1.29,1.13,2025-04-07,1635,T,87,6.1NRT,291.22,36.56,D
37.59194,-100.63502,320.05,1,1,2025-04-07,1635,T,73,6.1NRT,299.53,11.05,D
39.03188,-96.3629,311.5,1.29,1.13,2025-04-07,1635,T,43,6.1NRT,290.15,11.44,D
37.59034,-100.62406,335.94,1,1,2025-04-07,1635,T,87,6.1NRT,303.19,30.57,D
39.02935,-96.34856,322.39,1.29,1.13,2025-04-07,1635,T,82,6.1NRT,291.61,26.06,D
37.57999,-100.63233,322.29,1,1,2025-04-07,1635,T,76,6.1NRT,298.03,14,D
38.97514,-96.04412,303.23,1.34,1.15,2025-04-07,1635,T,55,6.1NRT,290.16,5.82,D
36.83364,-96.49432,316.83,1.39,1.17,2025-04-07,1635,T,77,6.1NRT,292.3,19.93,D
39.04461,-96.49289,353.58,1.27,1.12,2025-04-07,1635,T,97,6.1NRT,294.16,96.78,D
36.8309,-96.47948,310.87,1.39,1.17,2025-04-07,1635,T,60,6.1NRT,291.69,12.02,D
39.04214,-96.47884,345.43,1.27,1.12,2025-04-07,1635,T,94,6.1NRT,293.15,72.52,D
36.82082,-96.48228,315.88,1.39,1.17,2025-04-07,1635,T,75,6.1NRT,292.72,18.09,D
